48,,,,,,
8,9,92,93,43,45,0.03f
110,9,195,93,43,45,0.03f
213,9,297,93,43,45,0.03f
315,9,400,93,43,45,0.03f
417,9,502,93,43,45,0.03f
520,9,605,93,43,45,0.03f
622,9,707,93,43,45,0.03f
724,9,810,93,43,45,0.03f
827,9,912,93,43,45,0.03f
929,9,1015,93,43,45,0.03f
1032,9,1117,93,43,45,0.03f
1134,9,1219,93,43,45,0.03f
8,111,93,195,43,45,0.03f
110,111,195,195,43,45,0.03f
213,111,297,195,43,45,0.03f
315,111,400,195,43,45,0.03f
418,111,502,196,43,45,0.03f
520,111,605,196,43,45,0.03f
623,111,707,196,43,45,0.03f
725,111,810,196,43,45,0.03f
827,111,912,196,43,45,0.03f
930,110,1015,196,43,45,0.03f
1032,110,1117,196,43,45,0.03f
1135,110,1220,196,43,45,0.03f
8,213,93,298,43,45,0.03f
111,213,196,298,43,45,0.03f
213,213,298,298,43,45,0.03f
315,213,400,298,43,45,0.03f
418,213,503,298,43,45,0.03f
520,213,605,298,43,45,0.03f
623,213,707,298,43,45,0.03f
725,213,810,298,43,45,0.03f
827,213,912,298,43,45,0.03f
930,213,1014,298,43,45,0.03f
1033,213,1117,298,43,45,0.03f
1135,213,1219,298,43,45,0.03f
9,316,93,400,43,45,0.03f
111,316,195,400,43,45,0.03f
214,316,298,400,43,45,0.03f
316,316,400,400,43,45,0.03f
418,315,503,401,43,45,0.03f
520,315,605,401,43,45,0.03f
623,315,708,401,43,45,0.03f
725,315,810,401,43,45,0.03f
828,315,913,401,43,45,0.03f
930,315,1015,401,43,45,0.03f
1032,315,1117,401,43,45,0.03f
1135,315,1220,401,43,45,0.03f
