22,,,,,,
64,1717,462,2063,226,189,0.05f
563,1717,961,2063,226,189,0.05f
1092,1712,1457,2063,226,189,0.05f
1636,1687,1952,2063,226,189,0.05f
2146,1690,2451,2063,226,189,0.05f
2643,1690,2951,2063,226,189,0.05f
3123,1687,3441,2063,226,189,0.05f
3596,1688,3927,2062,226,189,0.05f
66,2196,412,2561,226,189,0.05f
537,2210,902,2561,226,189,0.05f
1027,2211,1399,2562,226,189,0.05f
1517,2211,1900,2562,226,189,0.05f
2011,2212,2403,2563,226,189,0.05f
2514,2212,2906,2563,226,189,0.05f
3030,2213,3412,2563,226,189,0.05f
3551,2214,3920,2563,226,189,0.05f
68,2715,428,3063,226,189,0.05f
575,2716,936,3063,226,189,0.05f
1074,2716,1444,3063,226,189,0.05f
1571,2717,1951,3063,226,189,0.05f
2067,2717,2457,3063,226,189,0.05f
64,96,462,444,226,189,0.05f
