22,,,,,,
186,4605,459,5010,166,171,0.05f
682,4605,958,5005,166,171,0.05f
1158,4605,1455,4996,190,171,0.05f
1631,4605,1950,4995,212,171,0.05f
2114,4601,2445,4994,228,169,0.05f
2598,4565,2942,4993,240,203,0.05f
3559,4536,3939,4999,246,241,0.05f
88,5042,435,5499,208,234,0.05f
559,5073,938,5499,237,202,0.05f
1098,5043,1444,5499,184,232,0.05f
1540,5061,1944,5498,241,211,0.05f
2040,5061,2444,5497,236,210,0.05f
2540,5061,2944,5497,233,209,0.05f
3040,5061,3444,5497,240,208,0.05f
3543,5066,3945,5496,245,201,0.05f
52,5580,447,5996,235,188,0.05f
565,5600,949,5996,232,167,0.05f
1079,5605,1449,5996,228,165,0.05f
1598,5605,1952,5996,223,166,0.05f
2126,5606,2451,5997,201,165,0.05f
2655,5606,2952,5997,185,164,0.05f
3177,5606,3457,6004,175,162,0.05f
